Date,AAPL
2020-01-02,72.33386993408203
2020-01-03,71.63063049316406
2020-01-06,72.201416015625
2020-01-07,71.86184692382812
2020-01-08,73.01785278320312
2020-01-09,74.56880187988281
2020-01-10,74.73735809326172
2020-01-13,76.3340835571289
2020-01-14,75.30333709716797
2020-01-15,74.98062133789062
2020-01-16,75.91985321044922
2020-01-17,76.7603759765625
2020-01-21,76.24016571044922
2020-01-22,76.51233673095703
2020-01-23,76.88076782226562
2020-01-24,76.65919494628906
2020-01-27,74.40502166748047
2020-01-28,76.50987243652344
2020-01-29,78.1114273071289
2020-01-30,77.99824523925781
2020-01-31,74.53992462158203
2020-02-03,74.33519744873047
2020-02-04,76.78927612304688
2020-02-05,77.41544342041016
2020-02-06,78.3209457397461
2020-02-07,77.2563705444336
2020-02-10,77.62329864501953
2020-02-11,77.15496826171875
2020-02-12,78.9872055053711
2020-02-13,78.42474365234375
2020-02-14,78.444091796875
2020-02-18,77.00772857666016
2020-02-19,78.12300872802734
2020-02-20,77.321533203125
2020-02-21,75.57136535644531
2020-02-24,71.981689453125
2020-02-25,69.54352569580078
2020-02-26,70.64672088623047
2020-02-27,66.0286865234375
2020-02-28,65.99005889892578
2020-03-02,72.13377380371094
2020-03-03,69.84284973144531
2020-03-04,73.08246612548828
2020-03-05,70.71190643310547
2020-03-06,69.77283477783203
2020-03-09,64.25437927246094
2020-03-10,68.8820571899414
2020-03-11,66.48976135253906
2020-03-12,59.923580169677734
2020-03-13,67.10292053222656
2020-03-16,58.4703369140625
2020-03-17,61.04128646850586
2020-03-18,59.547000885009766
2020-03-19,59.09074401855469
2020-03-20,55.3393440246582
2020-03-23,54.163700103759766
2020-03-24,59.59769821166992
2020-03-25,59.26939010620117
2020-03-26,62.38832092285156
2020-03-27,59.80530548095703
2020-03-30,61.51203536987305
2020-03-31,61.386497497558594
2020-04-01,58.15652084350586
2020-04-02,59.12696075439453
2020-04-03,58.2772216796875
2020-04-06,63.36117935180664
2020-04-07,62.6273078918457
2020-04-08,64.23020935058594
2020-04-09,64.6937026977539
2020-04-13,65.96350860595703
2020-04-14,69.29486083984375
